case,source_task,derived_task,person_idx,variant_e018b,selected_best_variant,best_method,quality_label,discard_from_p0,discard_from_success_denominator,recommended_owner,next_experiment_hint,raw_motion_quality_pass,object_contact_annotation_pass,retarget_quality_pass,visual_audit_pass,num_failed_evidence_classes,root_cause_E020,S1_anchor_vs_raw_pass,S2_ref_physics_pass,S3_mask_vs_raw_pass,S4_sim_ref_alignment_pass,raw_seq_dir,raw_mesh_path,trim_start,spider_frames,raw_selected_any_contact_pct,raw_left_pct,raw_right_pct,current_ref_any_contact_pct,mask_mismatch_pct,mask_overclaim_pct,mask_underclaim_pct,partner_anchor_dist_m,anchor_face,raw_partner_top_face,raw_partner_top_face_frac,ref_leg_interference_pct,ref_hand_contact_pct,ref_pelvis_z_min_m,holosoma_available,holosoma_cost,holosoma_source_npz,holosoma_contact28_pct,holosoma_contact28_demo_frames,holosoma_smoothness,holosoma_mj_pen_duration_pct,best_contact5_pct,best_deep_pen_pct,best_max_pen_cm,best_obj_pos_cm,best_fall,best_strict_success,visual_evidence_path,online_video_path,primary_evidence,secondary_evidence,counter_evidence,decision_rationale
box021_p1,box021_person1,box021_person1_freejoint_legobj_e018b,0,E018b_box021_p1_canonical_t02,E018b_box021_p1_canonical_t02,spider_E018b,usable_algorithmic_failure,True,False,SPIDER physics/control,E022_stability_leg_collision,True,True,True,True,0,algo_stability,False,True,False,False,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231018/030,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/box/box021_m.obj,84,88,68.18181818181817,61.36363636363637,68.18181818181817,100.0,35.22727272727273,35.22727272727273,0.0,0.5202724043855009,+x,-x,0.69805,0.0,73.29545454545455,0.715516611066714,True,0.5126521866897271,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231018-030-person1-Box021_with_obj_original.npz,29.54545454545454,62,31003.702110536353,0.0,71.73913043478261,53.103448275862064,7.243387571567685,9.065991143498428,True,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_box021_p1_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_box021_p1_canonical_t02.mp4,E020 root_cause=algo_stability; mask_overclaim=35.2%; ref_leg_interference=0.0%,"partner_dist=0.520m, partner_face=-x(70%), anchor_face=+x; pelvis_min=0.716m, ref_leg=0.0%, ref_hand=73.3%; current_contact=100.0%, raw_any=68.2%, mismatch=35.2%; Epos=0.091m, contact=71.7%(ok=True), deep_pen=53.1%(ok=False), fall=True; kin_contact28=29.5%; best_contact5=71.7%; best_deep_pen=53.1%",object tracking ok; holosoma available,usable_algorithmic_failure: failed_evidence_classes=0; discard_from_p0=True; discard_from_success_denominator=False
box021_p2,box021_person2,box021_person2_freejoint_legobj_e018b,1,E018b_box021_p2_canonical_t02,E018b_box021_p2_canonical_t02,spider_E018b,usable_algorithmic_failure,True,False,SPIDER physics/control,E022_stability_leg_collision,True,True,True,True,0,algo_stability,False,True,False,False,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231018/030,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/box/box021_m.obj,97,75,80.0,80.0,74.66666666666667,100.0,22.666666666666664,22.666666666666664,0.0,0.3703210865288546,-x,+x,0.54875,9.333333333333334,74.0,0.6681640450902724,True,0.9266543801298427,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231018-030-person2-Box021_with_obj_original.npz,21.333333333333336,59,35037.48185282647,0.0,10.300429184549357,0.7352941176470588,2.2159127590787997,7.4189741013134745,True,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_box021_p2_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_box021_p2_canonical_t02.mp4,E020 root_cause=algo_stability; mask_overclaim=22.7%; ref_leg_interference=9.3%,"partner_dist=0.370m, partner_face=+x(55%), anchor_face=-x; pelvis_min=0.668m, ref_leg=9.3%, ref_hand=74.0%; current_contact=100.0%, raw_any=80.0%, mismatch=22.7%; Epos=0.074m, contact=10.3%(ok=False), deep_pen=0.7%(ok=True), fall=True; kin_contact28=21.3%; best_contact5=10.3%; best_deep_pen=0.7%",object tracking ok; holosoma available,usable_algorithmic_failure: failed_evidence_classes=0; discard_from_p0=True; discard_from_success_denominator=False
box023_p1,box023_person1,box023_person1_freejoint_legobj_e018b,0,E018b_box023_p1_canonical_t02,E022_box023_p1_raw3_eval_axis,spider_E022,usable_with_caveat,False,False,OmniRetarget/contact-mask pipeline,E021_per_eef_mask_repair,True,False,True,True,1,contact_mask,False,True,False,False,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231008/045,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/box/box023_m.obj,42,136,46.32352941176471,46.32352941176471,44.85294117647059,100.0,54.41176470588235,54.41176470588235,0.0,0.08031830257533643,+y,+x,0.36495,0.0,47.794117647058826,0.6281432904401107,True,0.47629088631708005,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231008-045-person1-Box023_with_obj_original.npz,50.73529411764706,67,32482.406639864508,0.0,25.301204819277107,0.0,1.8065484435112757,4.353387003518041,False,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_box023_p1_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_box023_p1_canonical_t02.mp4,E020 root_cause=contact_mask; mask_overclaim=54.4%; ref_leg_interference=0.0%,"partner_dist=0.080m, partner_face=+x(36%), anchor_face=+y; pelvis_min=0.628m, ref_leg=0.0%, ref_hand=47.8%; current_contact=100.0%, raw_any=46.3%, mismatch=54.4%; Epos=0.043m, contact=22.5%(ok=False), deep_pen=0.0%(ok=True), fall=False; kin_contact28=50.7%; best_contact5=25.3%; best_deep_pen=0.0%",object tracking ok; no fall; holosoma available,usable_with_caveat: failed_evidence_classes=1; discard_from_p0=False; discard_from_success_denominator=False
box023_p2,box023_person2,box023_person2_freejoint_legobj_e018b,1,E018b_box023_p2_canonical_t02,E018b_box023_p2_canonical_t02,spider_E018b,usable_with_caveat,False,False,SPIDER contact reward/control,E023_robot_side_contact_closure,True,False,True,True,1,algo_contact,False,True,False,False,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231008/045,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/box/box023_m.obj,42,136,47.794117647058826,44.85294117647059,47.794117647058826,100.0,53.67647058823529,53.67647058823529,0.0,0.3489415837275164,+x,+y,0.9231266846361186,0.0,48.529411764705884,0.6788510606950348,True,0.574046705096733,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231008-045-person2-Box023_with_obj_original.npz,50.370370370370374,67,50809.62946255189,0.0,28.57142857142857,3.3333333333333335,2.370975428772619,4.248605962532843,False,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_box023_p2_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_box023_p2_canonical_t02.mp4,E020 root_cause=algo_contact; mask_overclaim=53.7%; ref_leg_interference=0.0%,"partner_dist=0.349m, partner_face=+y(92%), anchor_face=+x; pelvis_min=0.679m, ref_leg=0.0%, ref_hand=48.5%; current_contact=100.0%, raw_any=47.8%, mismatch=53.7%; Epos=0.042m, contact=28.6%(ok=False), deep_pen=3.3%(ok=True), fall=False; kin_contact28=50.4%; best_contact5=28.6%; best_deep_pen=3.3%",object tracking ok; no fall; holosoma available,usable_with_caveat: failed_evidence_classes=1; discard_from_p0=False; discard_from_success_denominator=False
box025_p1,box025_person1,box025_person1_freejoint_legobj_e018b,0,E018b_box025_p1_canonical_t02,E018b_box025_p1_canonical_t02,spider_E018b,retarget_questionable,False,False,OmniRetarget kinematic pipeline,E021_ref_geometry_repair,True,True,False,True,1,retarget_kinematic,False,False,False,False,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231011/048,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/box/box025_m.obj,38,124,63.70967741935484,53.2258064516129,60.483870967741936,100.0,43.145161290322584,43.145161290322584,0.0,0.47816556084025447,-x,+x,0.3947,66.53225806451613,77.41935483870968,0.7467749431428332,True,1.2241535020862924,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_trimmed/20231011-048-person1-Box025_with_obj_original.npz,100.0,0,46523.36682455749,0.0,66.07142857142857,5.056179775280898,2.40106325749679,7.185492601006568,False,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_box025_p1_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_box025_p1_canonical_t02.mp4,E020 root_cause=retarget_kinematic; mask_overclaim=43.1%; ref_leg_interference=66.5%,"partner_dist=0.478m, partner_face=+x(39%), anchor_face=-x; pelvis_min=0.747m, ref_leg=66.5%, ref_hand=77.4%; current_contact=100.0%, raw_any=63.7%, mismatch=43.1%; Epos=0.072m, contact=66.1%(ok=False), deep_pen=5.1%(ok=True), fall=False; kin_contact28=100.0%; best_contact5=66.1%; best_deep_pen=5.1%",object tracking ok; no fall; holosoma available,retarget_questionable: failed_evidence_classes=1; discard_from_p0=False; discard_from_success_denominator=False
box025_p2,box025_person2,box025_person2_freejoint_legobj_e018b,1,E018b_box025_p2_canonical_t02,E018b_box025_p2_canonical_t02,spider_E018b,usable_algorithmic_failure,False,False,none,none,True,True,True,True,0,pass,False,True,False,True,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231011/048,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/box/box025_m.obj,38,124,62.096774193548384,62.096774193548384,62.096774193548384,100.0,37.903225806451616,37.903225806451616,0.0,0.7254979218855319,+y,-x,0.6679,22.983870967741936,69.75806451612904,0.7451281936057247,True,1.2003143817562307,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_trimmed/20231011-048-person2-Box025_with_obj_original.npz,100.0,0,37168.947817716515,0.0,86.9281045751634,0.0,1.136354191472634,5.608089732155346,False,True,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_box025_p2_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_box025_p2_canonical_t02.mp4,E020 root_cause=pass; mask_overclaim=37.9%; ref_leg_interference=23.0%,"partner_dist=0.725m, partner_face=-x(67%), anchor_face=+y; pelvis_min=0.745m, ref_leg=23.0%, ref_hand=69.8%; current_contact=100.0%, raw_any=62.1%, mismatch=37.9%; Epos=0.056m, contact=86.9%(ok=True), deep_pen=0.0%(ok=True), fall=False; kin_contact28=100.0%; best_contact5=86.9%; best_deep_pen=0.0%",object tracking ok; no fall; strict pass guard; holosoma available,usable_algorithmic_failure: failed_evidence_classes=0; discard_from_p0=False; discard_from_success_denominator=False
bucket001_p1,bucket001_person1,bucket001_person1_freejoint_legobj_e018b,0,E018b_bucket001_p1_canonical_t02,E024_bucket001_p1_root025_gain2_stab_t065,spider_E024,usable_with_caveat,True,False,SPIDER physics/control,E022_stability_leg_collision,True,False,True,True,1,algo_stability,True,True,False,False,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231030/094,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/bucket/bucket001_m.obj,47,107,57.009345794392516,57.009345794392516,0.0,100.0,71.49532710280374,71.49532710280374,0.0,0.09137687991510755,+y,+y,0.9999,0.0,58.87850467289719,0.7666160603698419,True,0.3571352990553633,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231030-094-person1-bucket001_with_obj_original.npz,76.63551401869158,66,31768.828310815832,0.0,0.0,0.0,0.0,3.3281686355991207,True,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_bucket001_p1_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_bucket001_p1_canonical_t02.mp4,E020 root_cause=algo_stability; mask_overclaim=71.5%; ref_leg_interference=0.0%,"partner_dist=0.091m, partner_face=+y(100%), anchor_face=+y; pelvis_min=0.767m, ref_leg=0.0%, ref_hand=58.9%; current_contact=100.0%, raw_any=57.0%, mismatch=71.5%; Epos=0.033m, contact=0.0%(ok=False), deep_pen=0.0%(ok=True), fall=True; kin_contact28=76.6%; best_contact5=0.0%; best_deep_pen=0.0%",object tracking ok; holosoma available,usable_with_caveat: failed_evidence_classes=1; discard_from_p0=True; discard_from_success_denominator=False
bucket001_p2,bucket001_person2,bucket001_person2_freejoint_legobj_e018b,1,E018b_bucket001_p2_canonical_t02,E024_bucket001_p2_root025_gain2_stab_t065,spider_E024,usable_with_caveat,False,False,SPIDER physics/control,E022_stability_leg_collision,True,False,True,True,1,algo_stability,True,True,False,False,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/human_object_motions/20231030/094,/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/mocap_data/CORE4D/CORE4D_Real/object_models/bucket/bucket001_m.obj,32,122,72.95081967213115,0.0,72.95081967213115,100.0,63.52459016393443,63.52459016393443,0.0,0.09000574130270239,+y,+y,0.99955,0.0,69.67213114754098,0.7473870561275534,True,0.4993350613250137,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231030-094-person2-bucket001_with_obj_original.npz,39.34426229508197,91,30873.746318700774,0.0,77.52808988764045,59.59595959595959,8.079289165654432,3.0499729610820907,False,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_bucket001_p2_canonical_t02/attribution_panel.png,workspace/core4d_collab_retarget/results/E018b/online_video/E018b_bucket001_p2_canonical_t02.mp4,E020 root_cause=algo_stability; mask_overclaim=63.5%; ref_leg_interference=0.0%,"partner_dist=0.090m, partner_face=+y(100%), anchor_face=+y; pelvis_min=0.747m, ref_leg=0.0%, ref_hand=69.7%; current_contact=100.0%, raw_any=73.0%, mismatch=63.5%; Epos=0.038m, contact=66.3%(ok=False), deep_pen=64.6%(ok=False), fall=True; kin_contact28=39.3%; best_contact5=77.5%; best_deep_pen=59.6%",object tracking ok; no fall; holosoma available,usable_with_caveat: failed_evidence_classes=1; discard_from_p0=False; discard_from_success_denominator=False
bucket005_s2_p1,,,,E018b_bucket005_s2_p1_canonical_t02,E018b_bucket005_s2_p1_canonical_t02,spider_E018b,usable_algorithmic_failure,False,False,SPIDER collision/contact control,E023_robot_side_contact_closure,True,True,True,True,0,algo_contact,False,True,False,False,,,,,64.1891891891892,62.16216216216216,64.1891891891892,100.0,36.82432432432432,36.82432432432432,0.0,0.28516306800424257,+x,+x,0.4016,30.405405405405407,66.21621621621621,0.6873350448402287,True,0.47740184420307713,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231002-004-person1-bucket005_with_obj_original.npz,49.32432432432432,99,34619.02124895609,0.0,97.59358288770053,88.15165876777252,5.124914663471129,3.8624969919813963,False,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_bucket005_s2_p1_canonical_t02/attribution_panel.png,,E020 root_cause=algo_contact; mask_overclaim=36.8%; ref_leg_interference=30.4%,"partner_dist=0.285m, partner_face=+x(40%), anchor_face=+x; pelvis_min=0.687m, ref_leg=30.4%, ref_hand=66.2%; current_contact=100.0%, raw_any=64.2%, mismatch=36.8%; Epos=0.039m, contact=97.6%(ok=True), deep_pen=88.2%(ok=False), fall=False; kin_contact28=49.3%; best_contact5=97.6%; best_deep_pen=88.2%",object tracking ok; no fall; holosoma available,usable_algorithmic_failure: failed_evidence_classes=0; discard_from_p0=False; discard_from_success_denominator=False
bucket005_s2_p2,,,,E018b_bucket005_s2_p2_canonical_t02,E025_bucket005_s2_p2_penalty_s4_hc1,spider_E025,usable_algorithmic_failure,False,False,SPIDER collision/contact control,E023_robot_side_contact_closure,True,True,True,True,0,algo_contact,False,True,False,False,,,,,62.16216216216216,62.16216216216216,60.810810810810814,100.0,38.513513513513516,38.513513513513516,0.0,0.1979327755189911,+x,+x,0.55285,5.0675675675675675,63.85135135135135,0.6333059714513776,True,0.40278902810124445,/home/ubuntu/Workspace/holosoma/workspace/v2/results/retarget_replace_batch_extra_trimmed/20231002-004-person2-bucket005_with_obj_original.npz,54.054054054054056,96,39823.566936433424,0.0,96.41873278236915,64.5320197044335,7.056726969952829,5.155239048615924,False,False,/home/ubuntu/Workspace/spider/workspace/core4d_collab_retarget/results/E020_audit/per_case/E018b_bucket005_s2_p2_canonical_t02/attribution_panel.png,,E020 root_cause=algo_contact; mask_overclaim=38.5%; ref_leg_interference=5.1%,"partner_dist=0.198m, partner_face=+x(55%), anchor_face=+x; pelvis_min=0.633m, ref_leg=5.1%, ref_hand=63.9%; current_contact=100.0%, raw_any=62.2%, mismatch=38.5%; Epos=0.059m, contact=95.9%(ok=True), deep_pen=74.4%(ok=False), fall=False; kin_contact28=54.1%; best_contact5=96.4%; best_deep_pen=64.5%",object tracking ok; no fall; holosoma available,usable_algorithmic_failure: failed_evidence_classes=0; discard_from_p0=False; discard_from_success_denominator=False
