case	qpos_path	scene_xml	expected_verdict	source_exp
E096bP1_box004_083_p1_WORK	workspace/core4d/results/E096b/cem/full/E096bP1_box004_083_p1_mask_cem_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act.xml	PASS	E096b
E096bP2_box004_082_p1_WORK	workspace/core4d/results/E096b/cem/full/E096bP2_box004_082_p1_mask_cem_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	PASS	E096b
E094P1_box004_083_p2_WORK	workspace/core4d/results/E094/cem/full/E094P1_box004_083_p2_hbproj_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2/scene_act.xml	PASS	E094
E094P2_box026_039_p2_LIE_ON_BOX	workspace/core4d/results/E094/cem/full/E094P2_box026_039_p2_hbproj_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p2/scene_act.xml	FAIL_LIE_ON_BOX	E094_C2
E094P3_box026_135_p2_PELVIS_LOW	workspace/core4d/results/E094/cem/full/E094P3_box026_135_p2_hbproj_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p2/scene_act.xml	FAIL_PELVIS	E094_C3
E090S1_box021_035_p2_btop_PELVIS_LOW	workspace/core4d/results/E090/full/E090S1_box021_20231011_035_p2_btop_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_btop_preik_e090/scene_act.xml	FAIL_PELVIS	E090_S1
E089A_box021_person1_WORK	workspace/core4d/results/E089/A/E089A_box021_person1_upperobj_outdir/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box021_person1_upperobj_e089/scene_act.xml	PASS	E089A
E088A_box021_029_p2_FAIL	workspace/core4d/results/E088/E088A_m10_gate_main_outdir/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_upperobj_e083_m10_e087/scene_act.xml	FAIL_ANY	E088_A
E088B_box021_029_p2_FAIL	workspace/core4d/results/E088/E088B_m10_gate_low_main_outdir/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_upperobj_e083_m10_e087/scene_act.xml	FAIL_ANY	E088_B
E088C_box021_029_p2_FAIL	workspace/core4d/results/E088/E088C_m10_gate_clearance_main_outdir/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_upperobj_e083_m10_e087/scene_act.xml	FAIL_ANY	E088_C
E082_box021_029_p2_FAIL	workspace/core4d/results/E082/E082_d003_box021_20231018_029_p2_legobj_outdir/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_legobj_e082/scene_act.xml	FAIL_ANY	E082
E091S1_box004_083_p2_PELVIS_REVIEW	workspace/core4d/results/E091/smoke/E091S1_box004_20231003_2_083_p2_outdir_smoke/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2/scene_act.xml	FAIL_PELVIS	E091_smoke
