case_id	fall_flag	jitter_flag	evidence_times	notes
box021_20231018_030_p1	false	false	0s,1s,2s	Upright/bending manipulation around box; no collapse or broad tremor visible in 1-fps samples.
box021_20231018_030_p2	false	false	0s,1s,2s	Bending and standing transitions remain coherent; no fall or large-range jitter.
box021_20231018_032_p1	false	false	0s,1s,2s	Standing-to-step motion with object; stable body trajectory, no fall/jitter.
box021_20231018_032_p2	false	false	0s,1s,2s	Object interaction and side step are coherent; no obvious instability.
box021_20231018_033_p1	false	false	0s,1s,2s	Bend/lift/stand sequence; no ground impact or collapse, no broad oscillation.
box021_20231018_033_p2	false	false	0s,1s,2s	Squat/stand manipulation; pose progression smooth at sampled times.
box021_20231018_034_p2	false	false	0s,1s,2s	Bending beside box then upright; no fall or large-range jitter detected.
box021_20231018_035_p2	false	false	0s,1s,2s	Object moved while subject remains controlled; no collapse/tremor.
box021_20231020_019_p1	false	false	0s,1s,2s	Bend-to-stand with box; stable support and continuous motion.
box021_20231020_019_p2	false	false	0s,1s,2s	Repeated bend/stand interaction; no obvious fall or broad jitter.
box021_20231020_020_p1	false	false	0s,1s,2s	Manipulation with stepping; posture remains plausible and stable.
box021_20231020_020_p2	false	false	0s,1s,2s	Bend, lift, and upright transition; no collapse or large oscillation.
box021_20231020_022_p1	false	false	0s,1s,2s	Front-facing squat/stand around box; no fall or broad jitter visible.
box021_20231020_022_p2	false	false	0s,1s,2s,3s	Longer sequence with alternating bend/stand; stable, no obvious fall/jitter.
box021_20231020_023_p1	false	false	0s,1s,2s,3s	Standing and box interaction; consistent pose progression, no instability.
box021_20231020_023_p2	false	false	0s,1s,2s,3s	Bend-to-stand and walk-away motion; no collapse or large-range jitter.
box023_20231008_045_p1	false	false	0s,1s,2s,3s	Bend/lift/step sequence; subject remains upright and controlled, no obvious jitter.
