case_id	primary_family	secondary_families	visual_evidence	likely_mechanism
box021_20231011_036_p1	invalid_lower_body_support	balance_root_drift	Narrow and crossed support steps; repeated leg/box overlap while carrying.	No lower-body/object exclusion or stance-foot constraint.
box021_20231018_028_p1	hard_reference_feasibility	temporal_chatter;invalid_lower_body_support;balance_root_drift	Short, fast motion with unstable recovery and large whole-body divergence.	Local search becomes infeasible while chasing a high-dynamic reference.
box021_20231018_028_p2	hard_reference_feasibility	balance_root_drift;contact_loss;invalid_lower_body_support	Extreme lateral reach produces a wide split stance, foot crossing, and contact loss.	Reference reach exceeds the support-preserving envelope.
box021_20231018_029_p1	invalid_lower_body_support	balance_root_drift;hard_reference_feasibility	Feet route around/through the box and the robot ends supported on its top.	The box is available as an unpenalized support shortcut.
box021_20231018_030_p1	invalid_lower_body_support	balance_root_drift;contact_loss	Crossed feet and severe root translation culminate in standing on the box.	Hand/object tracking wins over support and lower-body feasibility.
box021_20231018_030_p2	balance_root_collapse	temporal_chatter;contact_loss;hard_reference_feasibility	Only full fall: backward flip/collapse near the end while the reference stays upright.	Posture-z fallback cannot enforce terminal upright balance.
box021_20231018_031_p2	invalid_lower_body_support	contact_loss;balance_root_drift	Robot climbs/stands on the box and loses sustained hand contact.	Unpenalized object support substitutes for a valid stance.
box021_20231018_032_p1	invalid_lower_body_support	temporal_chatter;balance_root_drift	Lower body intersects the box amid high-acceleration, unstable recovery.	Missing collision feasibility combines with an aggressive short-horizon update.
box021_20231018_032_p2	invalid_lower_body_support	contact_loss;balance_root_drift	Foot steps onto/through the box, followed by separation from the intended carry contact.	No stance-foot anchoring or nonhand-support rejection.
box021_20231018_033_p1	invalid_lower_body_support	contact_loss;balance_root_drift	Reference remains beside the box; simulation crosses over and stands on it.	A reward-valid but task-invalid support shortcut dominates local tracking.
box021_20231018_033_p2	invalid_lower_body_support	balance_root_drift;contact_loss	Persistent lower-body/box intersection with extreme torso and end-effector orientation error.	Object support masks loss of whole-body balance.
box021_20231018_034_p2	temporal_chatter	invalid_lower_body_support;contact_loss	Sparse poses look plausible, but the timeline contains unstable foot/support transitions.	No CEM smoothness term or contact-preserving postprocess.
box021_20231018_035_p2	balance_root_collapse	invalid_lower_body_support;temporal_chatter	Severe torso lean/collapse against the box with repeated lower-body penetration.	No roll/pitch, support-polygon, or nonhand-support constraint.
box021_20231020_019_p1	balance_root_collapse	invalid_lower_body_support;temporal_chatter	Unstable one-leg carry with large root rotation and repeated support loss.	Support phase is not represented in the local objective/gates.
box021_20231020_020_p2	invalid_lower_body_support	balance_root_drift	A foot is placed on/inside the box during lift despite otherwise adequate hand contact.	Current safety geoms exclude the entire lower body.
