case_name	box_family	person	source_npz	scene_xml	last_known_outcome	owner_stage
d003_box021_20231018_029_p2	box021_d003	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2/scene.xml	E082-E088 反复 FAIL；H1 主战场	E101_typical
d003_box021_20231011_035_p2	box021_d003	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2/scene.xml	E090 S1 full：safety 全 0% 但 pelvis 0.134 m FAIL	E101_typical
d003_box021_20231020_019_p1	box021_d003	1	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231020_019_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231020_019_p1/scene.xml	E089B4 smoke pelvis 0.087-0.147	E101_phase2
d003_box021_20231018_030_p1	box021_d003	1	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_030_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_030_p1/scene.xml	02 §3 表 L+z 73% / R+z 67%，B1 强误判代表	E101_phase2
d003_box021_20231020_020_p2	box021_d003	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231020_020_p2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231020_020_p2/scene.xml	02 §3 表 R+z 76%，最清晰 +z 主面	E101_phase2
d003_box021_20231018_028_p2	box021_d003	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_028_p2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_028_p2/scene.xml	E097 visual review D004 reject 代表	E101_phase2
box021_person1	box021_other	1	example_datasets/processed/core4d/unitree_g1/humanoid_object/box021_person1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box021_person1/scene.xml	E089A 单 G1 WORK	guard_h1
box023_person1	box023	1	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/scene.xml	守门	guard
box023_person2	box023	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2/scene.xml	守门，多 case 反复 WORK	guard
box025_person1	box025	1	example_datasets/processed/core4d/unitree_g1/humanoid_object/box025_person1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box025_person1/scene.xml	守门	guard
box025_person2	box025	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/box025_person2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box025_person2/scene.xml	守门，侧抓 case，E090 反退化	guard
e091_box004_20231003_2_083_p2	box004	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2/scene.xml	E092/E094 WORK 正样	guard_pos
e091_box004_20231003_2_083_p1	box004	1	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1/scene.xml	E096/E096b WORK 正样	guard_pos
e091_box004_20231003_2_082_p1	box004	1	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1/scene.xml	E096/E096b WORK 正样	guard_pos
e091_box004_20231003_2_082_p2	box004	2	pending_e099	pending_e099	OmniRetarget CVXPY infeasible 代表	infeasible_ref
e091_box026_20231018_039_p2	box026	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p2/scene.xml	E094 C2 "趴箱" 关键证据	E101_phase2
e091_box026_20231020_135_p2	box026	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p2/scene.xml	E094 C3 反退化代表	E101_phase2
box026_person2	box026	2	example_datasets/processed/core4d/unitree_g1/humanoid_object/box026_person2/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box026_person2/scene.xml	canonical 守门	guard
box022_20231022_001_p2	box022	2	pending_e099_or_e102	pending_e099_or_e102	preflight_pending（v1 §6 一直没做）	E102_preflight
box022_20231022_127_p2	box022	2	pending_e099_or_e102	pending_e099_or_e102	preflight_pending	E102_preflight
