rank	route_enabled_default	target_task	route	quality_score	known_status	known_stage	object_key	object_name	sequence	date	seq	person	action	reach_label	inside_support_status	cem_posture_status	stage0_v2_decision	stage1_decision	raw_score	target_both_active_frac_3cm	target_left_active_frac_3cm	target_right_active_frac_3cm	target_both_longest_run_active_frac_3cm	partner_any_active_frac_3cm	size_vs_box023_volume_ratio	extent_x_m	extent_y_m	extent_z_m	extent_max_m	aspect_ratio	object_model_rel	source_scene_task	source_scene_exists	raw_contact_proxy_path	feature_note
1	0	e091_box022_20231023_125_p1	raw_contact_preflight_disabled	-33.682	unverified		box022	Box022	20231023/125	20231023	125	person1	move2_obs0	long_edge_raw_contact_preflight	not_evaluated	not_evaluated	stage0_boundary_review_to_stage1	not_run	0.0	0.0	0.0	0.0	0.0	0.0	2.298358	0.27080888000000003	0.66707501	0.45838051	0.667075	2.463269	box/box022_m.obj	box022_person1	False		raw contact not run; run D002/raw-contact visual first
2	0	e091_box022_20231023_125_p2	raw_contact_preflight_disabled	-33.682	unverified		box022	Box022	20231023/125	20231023	125	person2	move2_obs0	long_edge_raw_contact_preflight	not_evaluated	not_evaluated	stage0_boundary_review_to_stage1	not_run	0.0	0.0	0.0	0.0	0.0	0.0	2.298358	0.27080888000000003	0.66707501	0.45838051	0.667075	2.463269	box/box022_m.obj	box022_person2	False		raw contact not run; run D002/raw-contact visual first
3	0	e091_box022_20231023_126_p1	raw_contact_preflight_disabled	-33.682	unverified		box022	Box022	20231023/126	20231023	126	person1	move1_obs0	long_edge_raw_contact_preflight	not_evaluated	not_evaluated	stage0_boundary_review_to_stage1	not_run	0.0	0.0	0.0	0.0	0.0	0.0	2.298358	0.27080888000000003	0.66707501	0.45838051	0.667075	2.463269	box/box022_m.obj	box022_person1	False		raw contact not run; run D002/raw-contact visual first
4	0	e091_box022_20231023_126_p2	raw_contact_preflight_disabled	-33.682	unverified		box022	Box022	20231023/126	20231023	126	person2	move1_obs0	long_edge_raw_contact_preflight	not_evaluated	not_evaluated	stage0_boundary_review_to_stage1	not_run	0.0	0.0	0.0	0.0	0.0	0.0	2.298358	0.27080888000000003	0.66707501	0.45838051	0.667075	2.463269	box/box022_m.obj	box022_person2	False		raw contact not run; run D002/raw-contact visual first
5	0	e091_box022_20231023_127_p1	raw_contact_preflight_disabled	-33.682	unverified		box022	Box022	20231023/127	20231023	127	person1	move2_obs1	long_edge_raw_contact_preflight	not_evaluated	not_evaluated	stage0_boundary_review_to_stage1	not_run	0.0	0.0	0.0	0.0	0.0	0.0	2.298358	0.27080888000000003	0.66707501	0.45838051	0.667075	2.463269	box/box022_m.obj	box022_person1	False		raw contact not run; run D002/raw-contact visual first
6	0	e091_box022_20231023_127_p2	raw_contact_preflight_disabled	-33.682	unverified		box022	Box022	20231023/127	20231023	127	person2	move2_obs1	long_edge_raw_contact_preflight	not_evaluated	not_evaluated	stage0_boundary_review_to_stage1	not_run	0.0	0.0	0.0	0.0	0.0	0.0	2.298358	0.27080888000000003	0.66707501	0.45838051	0.667075	2.463269	box/box022_m.obj	box022_person2	False		raw contact not run; run D002/raw-contact visual first
7	0	e091_box026_20231020_134_p1	large_reach_holdout	31.523	unverified		box026	Box026	20231020/134	20231020	134	person1	move2_obs0	large_reach_holdout	not_evaluated	not_evaluated	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	3.229768	0.6289734499999999	0.39449338	0.46897031	0.628973	1.594383	box/box026_m.obj	box026_person1	False	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_134_box026/raw_contact_proxy.npz	large reach risk after Box026 failures; needs separate repair route
8	0	e091_box026_20231020_134_p2	large_reach_holdout	31.523	unverified		box026	Box026	20231020/134	20231020	134	person2	move2_obs0	large_reach_holdout	not_evaluated	not_evaluated	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	3.229768	0.6289734499999999	0.39449338	0.46897031	0.628973	1.594383	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_134_box026/raw_contact_proxy.npz	large reach risk after Box026 failures; needs separate repair route
9	0	e091_box026_20231020_135_p1	large_reach_holdout	13.655	unverified		box026	Box026	20231020/135	20231020	135	person1	move1_obs0	large_reach_holdout	not_evaluated	not_evaluated	stage0_pass_to_stage1	raw_contact_pass	85.0	0.8333	0.8333	1.0	0.4167	1.0	3.229768	0.6289734499999999	0.39449338	0.46897031	0.628973	1.594383	box/box026_m.obj	box026_person1	False	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_135_box026/raw_contact_proxy.npz	large reach risk after Box026 failures; needs separate repair route
10	0	e091_box026_20231018_039_p1	large_reach_holdout	-5.813	unverified		box026	Box026	20231018/039	20231018	039	person1	move2_obs0	large_reach_holdout	not_evaluated	not_evaluated	stage0_pass_to_stage1	raw_contact_pass	66.867	0.5067	0.5067	1.0	0.4	1.0	3.229768	0.6289734499999999	0.39449338	0.46897031	0.628973	1.594383	box/box026_m.obj	box026_person1	False	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_039_box026/raw_contact_proxy.npz	large reach risk after Box026 failures; needs separate repair route
